danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.377,0.933,2,-0.602,1,0.0849,0.00805,1.44e-06,0.361,0.433,169.97,audio_features,18xszcbgtHszOyovyumBPJ,spotify:track:18xszcbgtHszOyovyumBPJ,https://api.spotify.com/v1/tracks/18xszcbgtHszOyovyumBPJ,https://api.spotify.com/v1/audio-analysis/18xszcbgtHszOyovyumBPJ,220720,4
0.545,0.972,11,-0.609,0,0.203,0.181,0.0,0.0546,0.654,167.149,audio_features,7rqYTYi70xZBqEMAtSVhXc,spotify:track:7rqYTYi70xZBqEMAtSVhXc,https://api.spotify.com/v1/tracks/7rqYTYi70xZBqEMAtSVhXc,https://api.spotify.com/v1/audio-analysis/7rqYTYi70xZBqEMAtSVhXc,222367,4
0.567,0.981,4,-0.614,0,0.0774,0.0589,0.000683,0.0529,0.52,90.496,audio_features,2l7kjbDVtqivr8yMhOSWH4,spotify:track:2l7kjbDVtqivr8yMhOSWH4,https://api.spotify.com/v1/tracks/2l7kjbDVtqivr8yMhOSWH4,https://api.spotify.com/v1/audio-analysis/2l7kjbDVtqivr8yMhOSWH4,257493,4
0.497,0.972,3,-0.624,1,0.0882,0.0155,0.0,0.139,0.431,161.978,audio_features,64ztvh9KDjnGR07r1bUTnz,spotify:track:64ztvh9KDjnGR07r1bUTnz,https://api.spotify.com/v1/tracks/64ztvh9KDjnGR07r1bUTnz,https://api.spotify.com/v1/audio-analysis/64ztvh9KDjnGR07r1bUTnz,241280,4
0.456,0.974,5,-0.641,1,0.0535,0.0726,0.000665,0.0837,0.8,172.623,audio_features,6k8VdeKtTGut1VRfGIcADS,spotify:track:6k8VdeKtTGut1VRfGIcADS,https://api.spotify.com/v1/tracks/6k8VdeKtTGut1VRfGIcADS,https://api.spotify.com/v1/audio-analysis/6k8VdeKtTGut1VRfGIcADS,222520,4
0.552,0.993,8,-0.649,0,0.145,0.154,0.107,0.292,0.424,139.488,audio_features,6538a9sxH1VD2g7kJzo7bd,spotify:track:6538a9sxH1VD2g7kJzo7bd,https://api.spotify.com/v1/tracks/6538a9sxH1VD2g7kJzo7bd,https://api.spotify.com/v1/audio-analysis/6538a9sxH1VD2g7kJzo7bd,265293,4
0.3,0.966,4,-0.663,1,0.116,0.0402,0.0131,0.321,0.228,175.202,audio_features,1G5rSnzVH6RodmDS2po9Cn,spotify:track:1G5rSnzVH6RodmDS2po9Cn,https://api.spotify.com/v1/tracks/1G5rSnzVH6RodmDS2po9Cn,https://api.spotify.com/v1/audio-analysis/1G5rSnzVH6RodmDS2po9Cn,276920,4
0.387,0.879,8,-0.684,1,0.0706,0.102,0.0139,0.0338,0.604,191.027,audio_features,206gqT4spFnIoGwuCpwR79,spotify:track:206gqT4spFnIoGwuCpwR79,https://api.spotify.com/v1/tracks/206gqT4spFnIoGwuCpwR79,https://api.spotify.com/v1/audio-analysis/206gqT4spFnIoGwuCpwR79,298760,4
0.695,0.941,1,-0.706,1,0.0993,0.0306,3.06e-05,0.0315,0.777,171.075,audio_features,3FYaBN7S08LbNMVaasb6Uq,spotify:track:3FYaBN7S08LbNMVaasb6Uq,https://api.spotify.com/v1/tracks/3FYaBN7S08LbNMVaasb6Uq,https://api.spotify.com/v1/audio-analysis/3FYaBN7S08LbNMVaasb6Uq,204190,4
0.503,0.955,9,-0.71,0,0.068,0.0519,0.0,0.351,0.563,114.903,audio_features,0OE6yK59Hqrhs0ABC75s1E,spotify:track:0OE6yK59Hqrhs0ABC75s1E,https://api.spotify.com/v1/tracks/0OE6yK59Hqrhs0ABC75s1E,https://api.spotify.com/v1/audio-analysis/0OE6yK59Hqrhs0ABC75s1E,289067,4
0.593,0.991,8,-0.711,1,0.289,0.00916,0.0,0.323,0.424,95.923,audio_features,2PUgGggwF9tKlzYcq2VwSO,spotify:track:2PUgGggwF9tKlzYcq2VwSO,https://api.spotify.com/v1/tracks/2PUgGggwF9tKlzYcq2VwSO,https://api.spotify.com/v1/audio-analysis/2PUgGggwF9tKlzYcq2VwSO,214570,4
0.246,0.96,1,-0.713,1,0.0924,0.000177,0.0,0.0748,0.397,127.347,audio_features,3cj1GdMsLxHXqOkqpgVjFn,spotify:track:3cj1GdMsLxHXqOkqpgVjFn,https://api.spotify.com/v1/tracks/3cj1GdMsLxHXqOkqpgVjFn,https://api.spotify.com/v1/audio-analysis/3cj1GdMsLxHXqOkqpgVjFn,301920,3
0.493,0.947,0,-0.717,1,0.0701,0.111,0.0,0.345,0.656,137.124,audio_features,1ZGmDs16vtSI0nlxDFljFK,spotify:track:1ZGmDs16vtSI0nlxDFljFK,https://api.spotify.com/v1/tracks/1ZGmDs16vtSI0nlxDFljFK,https://api.spotify.com/v1/audio-analysis/1ZGmDs16vtSI0nlxDFljFK,246813,4
0.486,0.946,2,-0.721,1,0.174,0.0785,0.0,0.128,0.562,164.077,audio_features,1lf0loFiOlaRW4YqZstfyI,spotify:track:1lf0loFiOlaRW4YqZstfyI,https://api.spotify.com/v1/tracks/1lf0loFiOlaRW4YqZstfyI,https://api.spotify.com/v1/audio-analysis/1lf0loFiOlaRW4YqZstfyI,192320,4
0.449,0.95,7,-0.726,0,0.0512,0.00547,0.0,0.164,0.352,170.067,audio_features,61Yl4bWKSUeNxe6jPgKq5c,spotify:track:61Yl4bWKSUeNxe6jPgKq5c,https://api.spotify.com/v1/tracks/61Yl4bWKSUeNxe6jPgKq5c,https://api.spotify.com/v1/audio-analysis/61Yl4bWKSUeNxe6jPgKq5c,269200,4
0.707,0.965,1,-0.736,1,0.105,0.15,1.38e-06,0.726,0.777,128.003,audio_features,7z6qHGEKxRtwtYym2epV7l,spotify:track:7z6qHGEKxRtwtYym2epV7l,https://api.spotify.com/v1/tracks/7z6qHGEKxRtwtYym2epV7l,https://api.spotify.com/v1/audio-analysis/7z6qHGEKxRtwtYym2epV7l,208271,4
0.239,0.978,0,-0.75,1,0.08,0.00111,0.000761,0.639,0.246,167.348,audio_features,6y4O5W4wCheQ26vWabLMFD,spotify:track:6y4O5W4wCheQ26vWabLMFD,https://api.spotify.com/v1/tracks/6y4O5W4wCheQ26vWabLMFD,https://api.spotify.com/v1/audio-analysis/6y4O5W4wCheQ26vWabLMFD,258067,4
0.512,0.959,7,-0.765,1,0.089,0.14,2.22e-06,0.263,0.534,150.057,audio_features,5wkmzFGMJnCyibh5jWVt0x,spotify:track:5wkmzFGMJnCyibh5jWVt0x,https://api.spotify.com/v1/tracks/5wkmzFGMJnCyibh5jWVt0x,https://api.spotify.com/v1/audio-analysis/5wkmzFGMJnCyibh5jWVt0x,259333,4
0.621,0.963,10,-0.766,0,0.0614,0.109,0.0,0.313,0.911,92.994,audio_features,73Ua9z2DSgEoOWAKiClnhn,spotify:track:73Ua9z2DSgEoOWAKiClnhn,https://api.spotify.com/v1/tracks/73Ua9z2DSgEoOWAKiClnhn,https://api.spotify.com/v1/audio-analysis/73Ua9z2DSgEoOWAKiClnhn,171613,4
0.483,0.937,1,-0.768,0,0.0578,0.205,2.15e-06,0.258,0.508,154.096,audio_features,705LiBmCJHgFJaOj2bEiEE,spotify:track:705LiBmCJHgFJaOj2bEiEE,https://api.spotify.com/v1/tracks/705LiBmCJHgFJaOj2bEiEE,https://api.spotify.com/v1/audio-analysis/705LiBmCJHgFJaOj2bEiEE,263787,4
0.547,0.942,10,-0.769,1,0.0394,0.000571,0.0,0.241,0.727,122.021,audio_features,64zKXUxhMsNSIng4IA7S3C,spotify:track:64zKXUxhMsNSIng4IA7S3C,https://api.spotify.com/v1/tracks/64zKXUxhMsNSIng4IA7S3C,https://api.spotify.com/v1/audio-analysis/64zKXUxhMsNSIng4IA7S3C,247120,3
0.298,0.987,1,-0.77,1,0.0623,0.00341,3.18e-06,0.304,0.304,172.084,audio_features,0ZHWFqeBZz9DJB3l8G8UJo,spotify:track:0ZHWFqeBZz9DJB3l8G8UJo,https://api.spotify.com/v1/tracks/0ZHWFqeBZz9DJB3l8G8UJo,https://api.spotify.com/v1/audio-analysis/0ZHWFqeBZz9DJB3l8G8UJo,169187,4
